qid,domain,bertscore_dist,bertscore_gold,bertscore_para,bertscore_para_dist,drop_bertscore_para_pp,drop_bertscore_dist_pp,drop_bertscore_para_dist_pp
GEO001,geography,0.9811422228813171,0.42247846722602844,0.42247846722602844,0.42247846722602844,0.0,55.86637556552887,0.0
GEO002,geography,0.9833314418792725,0.9833314418792725,0.9833314418792725,0.9833314418792725,0.0,0.0,0.0
GEO003,geography,0.9999950528144836,0.9999950528144836,0.9999950528144836,0.7266042828559875,0.0,0.0,-27.33907699584961
GEO004,geography,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.0,0.0,0.0
GEO005,geography,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.0,0.0,0.0
GEO006,geography,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.0,0.0,0.0
GEO007,geography,0.9999982118606567,0.9060084223747253,0.9060084223747253,0.9060084223747253,0.0,9.39897894859314,0.0
GEO008,geography,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.0,0.0,0.0
GEO009,geography,0.46738937497138977,0.8829271793365479,0.8829271793365479,0.46738937497138977,0.0,-41.55378043651581,-41.55378043651581
GEO010,geography,0.7140871286392212,0.7140871286392212,0.7140871286392212,0.9999985694885254,0.0,0.0,28.59114408493042
HIST001,history,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.9676380157470703,0.0,0.0,-3.236269950866699
HIST002,history,1.000002145767212,1.000002145767212,0.18381620943546295,0.18381620943546295,-81.6185936331749,0.0,-81.6185936331749
HIST003,history,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
HIST004,history,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.9999992847442627,0.0,0.0,0.0
HIST005,history,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.0,0.0,0.0
HIST006,history,0.9999996423721313,0.9999996423721313,0.01705489680171013,0.01705489680171013,-98.29447455704212,0.0,-98.29447455704212
HIST007,history,0.999995768070221,0.8210058808326721,0.8210058808326721,0.999995768070221,0.0,17.898988723754883,17.898988723754883
HIST008,history,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.9999978542327881,0.0,0.0,0.0
HIST009,history,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
HIST010,history,0.2629096508026123,0.2629096508026123,0.2629096508026123,0.2629096508026123,0.0,0.0,0.0
LIT001,literature,0.9065621495246887,0.9065621495246887,1.0000014305114746,0.9065621495246887,9.343928098678589,0.0,0.0
LIT002,literature,1.0,1.0,1.0,1.0,0.0,0.0,0.0
LIT003,literature,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
LIT004,literature,0.999994695186615,0.999994695186615,0.999994695186615,0.999994695186615,0.0,0.0,0.0
LIT005,literature,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.0,0.0,0.0
LIT006,literature,0.9506152272224426,0.9506152272224426,0.9999982118606567,0.9506152272224426,4.938298463821411,0.0,0.0
LIT007,literature,0.9999961256980896,0.9999961256980896,0.9999961256980896,0.7982696294784546,0.0,0.0,-20.1726496219635
LIT008,literature,0.8740158081054688,0.8740158081054688,0.8740158081054688,0.8740158081054688,0.0,0.0,0.0
LIT009,literature,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
LIT010,literature,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
POL001,politics,0.9759807586669922,0.9759807586669922,0.9999996423721313,0.9759807586669922,2.401888370513916,0.0,0.0
POL002,politics,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
POL003,politics,0.6080389618873596,0.4109364449977875,0.4109364449977875,0.6080389618873596,0.0,19.710251688957214,19.710251688957214
POL004,politics,0.4571423828601837,0.4571423828601837,0.6558341383934021,0.4571423828601837,19.86917555332184,0.0,0.0
POL005,politics,0.8409542441368103,0.8409542441368103,0.8409542441368103,0.8409542441368103,0.0,0.0,0.0
POL006,politics,1.0000014305114746,1.0000014305114746,1.0000014305114746,1.0000014305114746,0.0,0.0,0.0
POL007,politics,0.8878784775733948,0.9999975562095642,0.636042594909668,0.8878784775733948,-36.395496129989624,-11.211907863616943,-11.211907863616943
POL008,politics,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.9999996423721313,0.0,0.0,0.0
POL009,politics,0.2882479727268219,0.2882479727268219,0.2882479727268219,0.8817285299301147,0.0,0.0,59.348055720329285
POL010,politics,0.999998927116394,0.999998927116394,0.999998927116394,0.999998927116394,0.0,0.0,0.0
SCI001,science,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
SCI002,science,0.9999982118606567,0.9999982118606567,0.9999982118606567,0.9999982118606567,0.0,0.0,0.0
SCI003,science,0.5224148631095886,0.5057840943336487,0.5057840943336487,0.5224148631095886,0.0,1.6630768775939941,1.6630768775939941
SCI004,science,0.9209340810775757,0.9209340810775757,0.9209340810775757,0.9209340810775757,0.0,0.0,0.0
SCI005,science,0.2329654097557068,0.2329654097557068,0.2329654097557068,0.2329654097557068,0.0,0.0,0.0
SCI006,science,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
SCI007,science,0.018962325528264046,0.018962325528264046,0.018962325528264046,0.018962325528264046,0.0,0.0,0.0
SCI008,science,1.0000007152557373,1.0000007152557373,1.0000007152557373,1.0000007152557373,0.0,0.0,0.0
SCI009,science,0.8365901708602905,0.8365901708602905,0.8365901708602905,0.8365901708602905,0.0,0.0,0.0
SCI010,science,0.32635554671287537,0.3392576277256012,0.3009798228740692,0.32635554671287537,-3.8277804851531982,-1.290208101272583,-1.290208101272583
